distance,direction,eggs,aphids,week,replicate,treatment,date
0.5,S,0,2,wk1,15,Chemical,07/07/2016
0.5,W,0,4,wk1,15,Chemical,07/07/2016
0.5,N,1,6,wk1,16,Control,07/07/2016
0.5,E,0,15,wk1,16,Control,07/07/2016
0.5,S,0,1,wk1,16,Control,07/07/2016
0.5,W,0,1,wk1,16,Control,07/07/2016
0.5,N,1,1,wk1,17,Chemical,07/07/2016
0.5,E,1,0,wk1,17,Chemical,07/07/2016
0.5,S,1,0,wk1,17,Chemical,07/07/2016
0.5,W,0,2,wk1,17,Chemical,07/07/2016
0.5,N,0,7,wk1,18,Predator,07/07/2016
0.5,E,1,2,wk1,18,Predator,07/07/2016
0.5,S,0,9,wk1,18,Predator,07/07/2016
0.5,W,1,6,wk1,18,Predator,07/07/2016
0.5,N,6,2,wk1,19,Predator,07/07/2016
0.5,E,4,7,wk1,19,Predator,07/07/2016
0.5,S,1,1,wk1,19,Predator,07/07/2016
0.5,W,1,8,wk1,19,Predator,07/07/2016
0.5,N,0,6,wk1,20,Control,07/07/2016
0.5,E,0,8,wk1,20,Control,07/07/2016
0.5,S,0,0,wk1,20,Control,07/07/2016
0.5,W,0,0,wk1,20,Control,07/07/2016
0.5,N,0,7,wk1,21,Chemical,07/07/2016
0.5,E,1,2,wk1,21,Chemical,07/07/2016
0.5,S,1,4,wk1,21,Chemical,07/07/2016
0.5,W,0,2,wk1,21,Chemical,07/07/2016
1,N,0,3,wk1,1,Chemical,07/07/2016
1,E,2,3,wk1,1,Chemical,07/07/2016
1,S,3,0,wk1,1,Chemical,07/07/2016
1,W,0,0,wk1,1,Chemical,07/07/2016
1,N,0,21,wk1,2,Control,07/07/2016
1,E,0,19,wk1,2,Control,07/07/2016
1,S,0,17,wk1,2,Control,07/07/2016
1,W,2,2,wk1,2,Control,07/07/2016
1,N,0,3,wk1,3,Predator,07/07/2016
1,E,0,5,wk1,3,Predator,07/07/2016
1,S,0,6,wk1,3,Predator,07/07/2016
1,W,1,0,wk1,3,Predator,07/07/2016
1,N,0,2,wk1,4,Chemical,07/07/2016
1,E,0,6,wk1,4,Chemical,07/07/2016
1,S,0,2,wk1,4,Chemical,07/07/2016
1,W,0,3,wk1,4,Chemical,07/07/2016
1,N,0,0,wk1,5,Predator,07/07/2016
1,E,0,6,wk1,5,Predator,07/07/2016
1,S,0,7,wk1,5,Predator,07/07/2016
1,W,1,10,wk1,5,Predator,07/07/2016
1,N,0,4,wk1,6,Control,07/07/2016
1,E,0,0,wk1,6,Control,07/07/2016
1,S,0,15,wk1,6,Control,07/07/2016
1,W,0,8,wk1,6,Control,07/07/2016
1,N,0,1,wk1,7,Control,07/07/2016
1,E,1,4,wk1,7,Control,07/07/2016
1,S,0,0,wk1,7,Control,07/07/2016
1,W,2,5,wk1,7,Control,07/07/2016
1,N,2,0,wk1,8,Chemical,07/07/2016
1,E,0,3,wk1,8,Chemical,07/07/2016
1,S,0,9,wk1,8,Chemical,07/07/2016
1,W,1,15,wk1,8,Chemical,07/07/2016
1,N,0,4,wk1,9,Predator,07/07/2016
1,E,1,6,wk1,9,Predator,07/07/2016
1,S,1,0,wk1,9,Predator,07/07/2016
1,W,0,14,wk1,9,Predator,07/07/2016
1,N,1,1,wk1,10,Chemical,07/07/2016
1,E,1,4,wk1,10,Chemical,07/07/2016
1,S,0,2,wk1,10,Chemical,07/07/2016
1,W,2,3,wk1,10,Chemical,07/07/2016
1,N,0,0,wk1,11,Predator,07/07/2016
1,E,0,4,wk1,11,Predator,07/07/2016
1,S,0,0,wk1,11,Predator,07/07/2016
1,W,1,0,wk1,11,Predator,07/07/2016
1,N,0,2,wk1,12,Control,07/07/2016
1,E,0,14,wk1,12,Control,07/07/2016
1,S,0,0,wk1,12,Control,07/07/2016
1,W,0,6,wk1,12,Control,07/07/2016
1,N,2,5,wk1,13,Control,07/07/2016
1,E,0,20,wk1,13,Control,07/07/2016
1,S,0,3,wk1,13,Control,07/07/2016
1,W,1,9,wk1,13,Control,07/07/2016
1,N,1,2,wk1,14,Predator,07/07/2016
1,E,0,2,wk1,14,Predator,07/07/2016
1,S,0,11,wk1,14,Predator,07/07/2016
1,W,0,16,wk1,14,Predator,07/07/2016
1,N,0,3,wk1,15,Chemical,07/07/2016
1,E,0,9,wk1,15,Chemical,07/07/2016
1,S,0,4,wk1,15,Chemical,07/07/2016
1,W,2,5,wk1,15,Chemical,07/07/2016
1,N,0,0,wk1,16,Control,07/07/2016
1,E,1,3,wk1,16,Control,07/07/2016
1,S,1,2,wk1,16,Control,07/07/2016
1,W,1,0,wk1,16,Control,07/07/2016
1,N,1,2,wk1,17,Chemical,07/07/2016
1,E,4,0,wk1,17,Chemical,07/07/2016
1,S,1,1,wk1,17,Chemical,07/07/2016
1,W,3,0,wk1,17,Chemical,07/07/2016
1,N,0,5,wk1,18,Predator,07/07/2016
1,E,0,5,wk1,18,Predator,07/07/2016
1,S,0,10,wk1,18,Predator,07/07/2016
1,W,0,2,wk1,18,Predator,07/07/2016
1,N,3,2,wk1,19,Predator,07/07/2016
1,E,3,7,wk1,19,Predator,07/07/2016
1,S,4,0,wk1,19,Predator,07/07/2016
1,W,4,1,wk1,19,Predator,07/07/2016
1,N,0,0,wk1,20,Control,07/07/2016
1,E,0,1,wk1,20,Control,07/07/2016
1,S,0,1,wk1,20,Control,07/07/2016
1,W,0,0,wk1,20,Control,07/07/2016
1,N,0,2,wk1,21,Chemical,07/07/2016
1,E,1,1,wk1,21,Chemical,07/07/2016
1,S,0,0,wk1,21,Chemical,07/07/2016
1,W,0,3,wk1,21,Chemical,07/07/2016
2,N,3,8,wk1,1,Chemical,07/07/2016
2,E,6,3,wk1,1,Chemical,07/07/2016
2,S,0,8,wk1,1,Chemical,07/07/2016
2,W,1,0,wk1,1,Chemical,07/07/2016
2,N,0,38,wk1,2,Control,07/07/2016
2,E,0,25,wk1,2,Control,07/07/2016
2,S,0,3,wk1,2,Control,07/07/2016
2,W,1,6,wk1,2,Control,07/07/2016
2,N,0,5,wk1,3,Predator,07/07/2016
2,E,0,3,wk1,3,Predator,07/07/2016
2,S,1,5,wk1,3,Predator,07/07/2016
2,W,1,0,wk1,3,Predator,07/07/2016
2,N,0,10,wk1,4,Chemical,07/07/2016
2,E,2,7,wk1,4,Chemical,07/07/2016
2,S,0,8,wk1,4,Chemical,07/07/2016
2,W,2,8,wk1,4,Chemical,07/07/2016
2,N,2,17,wk1,5,Predator,07/07/2016
2,E,0,7,wk1,5,Predator,07/07/2016
2,S,1,0,wk1,5,Predator,07/07/2016
2,W,2,4,wk1,5,Predator,07/07/2016
2,N,0,0,wk1,6,Control,07/07/2016
2,E,0,3,wk1,6,Control,07/07/2016
2,S,1,20,wk1,6,Control,07/07/2016
2,W,1,6,wk1,6,Control,07/07/2016
2,N,2,5,wk1,7,Control,07/07/2016
2,E,1,3,wk1,7,Control,07/07/2016
2,S,0,23,wk1,7,Control,07/07/2016
2,W,0,22,wk1,7,Control,07/07/2016
2,N,0,7,wk1,8,Chemical,07/07/2016
2,E,1,10,wk1,8,Chemical,07/07/2016
2,S,1,1,wk1,8,Chemical,07/07/2016
2,W,0,5,wk1,8,Chemical,07/07/2016
2,N,2,0,wk1,9,Predator,07/07/2016
2,E,1,3,wk1,9,Predator,07/07/2016
2,S,1,4,wk1,9,Predator,07/07/2016
2,W,0,7,wk1,9,Predator,07/07/2016
2,N,0,3,wk1,10,Chemical,07/07/2016
2,E,1,0,wk1,10,Chemical,07/07/2016
2,S,0,3,wk1,10,Chemical,07/07/2016
2,W,0,0,wk1,10,Chemical,07/07/2016
2,N,1,1,wk1,11,Predator,07/07/2016
2,E,0,0,wk1,11,Predator,07/07/2016
2,S,0,1,wk1,11,Predator,07/07/2016
2,W,0,0,wk1,11,Predator,07/07/2016
2,N,0,3,wk1,12,Control,07/07/2016
2,E,0,0,wk1,12,Control,07/07/2016
2,S,0,0,wk1,12,Control,07/07/2016
2,W,0,4,wk1,12,Control,07/07/2016
2,N,2,0,wk1,13,Control,07/07/2016
2,E,1,8,wk1,13,Control,07/07/2016
2,S,0,3,wk1,13,Control,07/07/2016
2,W,0,1,wk1,13,Control,07/07/2016
2,N,1,0,wk1,14,Predator,07/07/2016
2,E,1,1,wk1,14,Predator,07/07/2016
2,S,2,1,wk1,14,Predator,07/07/2016
2,W,0,4,wk1,14,Predator,07/07/2016
2,N,0,6,wk1,15,Chemical,07/07/2016
2,E,0,4,wk1,15,Chemical,07/07/2016
2,S,2,5,wk1,15,Chemical,07/07/2016
2,W,0,6,wk1,15,Chemical,07/07/2016
2,N,0,4,wk1,16,Control,07/07/2016
2,E,0,0,wk1,16,Control,07/07/2016
2,S,0,0,wk1,16,Control,07/07/2016
2,W,3,1,wk1,16,Control,07/07/2016
2,N,2,2,wk1,17,Chemical,07/07/2016
2,E,0,3,wk1,17,Chemical,07/07/2016
2,S,1,0,wk1,17,Chemical,07/07/2016
2,W,2,1,wk1,17,Chemical,07/07/2016
2,N,0,3,wk1,18,Predator,07/07/2016
2,E,1,8,wk1,18,Predator,07/07/2016
2,S,0,9,wk1,18,Predator,07/07/2016
2,W,0,5,wk1,18,Predator,07/07/2016
2,N,1,2,wk1,19,Predator,07/07/2016
2,E,2,3,wk1,19,Predator,07/07/2016
2,S,2,3,wk1,19,Predator,07/07/2016
2,W,3,1,wk1,19,Predator,07/07/2016
2,N,0,3,wk1,20,Control,07/07/2016
2,E,0,1,wk1,20,Control,07/07/2016
2,S,0,0,wk1,20,Control,07/07/2016
2,W,0,0,wk1,20,Control,07/07/2016
2,N,0,2,wk1,21,Chemical,07/07/2016
2,E,1,5,wk1,21,Chemical,07/07/2016
2,S,0,0,wk1,21,Chemical,07/07/2016
2,W,1,2,wk1,21,Chemical,07/07/2016
4,N,0,5,wk1,1,Chemical,07/07/2016
4,E,2,5,wk1,1,Chemical,07/07/2016
4,S,0,2,wk1,1,Chemical,07/07/2016
4,W,2,2,wk1,1,Chemical,07/07/2016
4,N,0,1,wk1,2,Control,07/07/2016
4,E,0,24,wk1,2,Control,07/07/2016
4,S,0,17,wk1,2,Control,07/07/2016
4,W,0,21,wk1,2,Control,07/07/2016
4,N,0,2,wk1,3,Predator,07/07/2016
4,E,0,10,wk1,3,Predator,07/07/2016
4,S,0,0,wk1,3,Predator,07/07/2016
4,W,1,4,wk1,3,Predator,07/07/2016
4,N,0,5,wk1,4,Chemical,07/07/2016
4,E,1,3,wk1,4,Chemical,07/07/2016
4,S,0,10,wk1,4,Chemical,07/07/2016
4,W,4,10,wk1,4,Chemical,07/07/2016
4,N,0,13,wk1,5,Predator,07/07/2016
4,E,0,2,wk1,5,Predator,07/07/2016
4,S,1,16,wk1,5,Predator,07/07/2016
4,W,1,6,wk1,5,Predator,07/07/2016
4,N,0,5,wk1,6,Control,07/07/2016
4,E,1,0,wk1,6,Control,07/07/2016
4,S,0,2,wk1,6,Control,07/07/2016
4,W,0,8,wk1,6,Control,07/07/2016
4,N,1,18,wk1,7,Control,07/07/2016
4,E,1,2,wk1,7,Control,07/07/2016
4,S,0,0,wk1,7,Control,07/07/2016
4,W,0,1,wk1,7,Control,07/07/2016
4,N,0,1,wk1,8,Chemical,07/07/2016
4,E,0,0,wk1,8,Chemical,07/07/2016
4,S,0,3,wk1,8,Chemical,07/07/2016
4,W,1,0,wk1,8,Chemical,07/07/2016
4,N,0,10,wk1,9,Predator,07/07/2016
4,E,0,0,wk1,9,Predator,07/07/2016
4,S,0,7,wk1,9,Predator,07/07/2016
4,W,0,10,wk1,9,Predator,07/07/2016
4,N,0,3,wk1,10,Chemical,07/07/2016
4,E,1,1,wk1,10,Chemical,07/07/2016
4,S,3,11,wk1,10,Chemical,07/07/2016
4,W,1,9,wk1,10,Chemical,07/07/2016
4,N,2,0,wk1,11,Predator,07/07/2016
4,E,0,5,wk1,11,Predator,07/07/2016
4,S,3,0,wk1,11,Predator,07/07/2016
4,W,0,0,wk1,11,Predator,07/07/2016
4,N,0,0,wk1,12,Control,07/07/2016
4,E,1,4,wk1,12,Control,07/07/2016
4,S,0,0,wk1,12,Control,07/07/2016
4,W,0,6,wk1,12,Control,07/07/2016
4,N,5,2,wk1,13,Control,07/07/2016
4,E,2,0,wk1,13,Control,07/07/2016
4,S,0,3,wk1,13,Control,07/07/2016
4,W,3,2,wk1,13,Control,07/07/2016
4,N,1,1,wk1,14,Predator,07/07/2016
4,E,0,1,wk1,14,Predator,07/07/2016
4,S,1,2,wk1,14,Predator,07/07/2016
4,W,2,14,wk1,14,Predator,07/07/2016
4,N,0,0,wk1,15,Chemical,07/07/2016
4,E,0,4,wk1,15,Chemical,07/07/2016
4,S,0,2,wk1,15,Chemical,07/07/2016
4,W,0,3,wk1,15,Chemical,07/07/2016
4,N,1,3,wk1,16,Control,07/07/2016
4,E,1,2,wk1,16,Control,07/07/2016
4,S,1,3,wk1,16,Control,07/07/2016
4,W,1,6,wk1,16,Control,07/07/2016
4,N,0,2,wk1,17,Chemical,07/07/2016
4,E,0,14,wk1,17,Chemical,07/07/2016
4,S,0,0,wk1,17,Chemical,07/07/2016
4,W,1,1,wk1,17,Chemical,07/07/2016
4,N,0,0,wk1,18,Predator,07/07/2016
4,E,0,3,wk1,18,Predator,07/07/2016
4,S,0,4,wk1,18,Predator,07/07/2016
4,W,0,1,wk1,18,Predator,07/07/2016
4,N,3,0,wk1,19,Predator,07/07/2016
4,E,5,3,wk1,19,Predator,07/07/2016
4,S,0,9,wk1,19,Predator,07/07/2016
4,W,3,4,wk1,19,Predator,07/07/2016
4,N,0,2,wk1,20,Control,07/07/2016
4,E,0,3,wk1,20,Control,07/07/2016
4,S,2,11,wk1,20,Control,07/07/2016
4,W,0,4,wk1,20,Control,07/07/2016
4,N,0,1,wk1,21,Chemical,07/07/2016
4,E,2,2,wk1,21,Chemical,07/07/2016
4,S,0,4,wk1,21,Chemical,07/07/2016
4,W,1,7,wk1,21,Chemical,07/07/2016
0.5,N,0,34,wk2,1,Chemical,07/14/2016
0.5,E,0,19,wk2,1,Chemical,07/14/2016
0.5,S,0,9,wk2,1,Chemical,07/14/2016
0.5,W,0,12,wk2,1,Chemical,07/14/2016
0.5,N,0,29,wk2,2,Control,07/14/2016
0.5,E,0,4,wk2,2,Control,07/14/2016
0.5,S,0,4,wk2,2,Control,07/14/2016
0.5,W,0,4,wk2,2,Control,07/14/2016
0.5,N,0,22,wk2,3,Predator,07/14/2016
0.5,E,0,0,wk2,3,Predator,07/14/2016
0.5,S,0,2,wk2,3,Predator,07/14/2016
0.5,W,2,0,wk2,3,Predator,07/14/2016
0.5,N,0,18,wk2,4,Chemical,07/14/2016
0.5,E,0,10,wk2,4,Chemical,07/14/2016
0.5,S,0,2,wk2,4,Chemical,07/14/2016
0.5,W,0,9,wk2,4,Chemical,07/14/2016
0.5,N,0,6,wk2,5,Predator,07/14/2016
0.5,E,0,10,wk2,5,Predator,07/14/2016
0.5,S,0,0,wk2,5,Predator,07/14/2016
0.5,W,0,1,wk2,5,Predator,07/14/2016
0.5,N,0,2,wk2,6,Control,07/14/2016
0.5,E,1,5,wk2,6,Control,07/14/2016
0.5,S,0,0,wk2,6,Control,07/14/2016
0.5,W,0,13,wk2,6,Control,07/14/2016
0.5,N,1,5,wk2,7,Control,07/14/2016
0.5,E,0,4,wk2,7,Control,07/14/2016
0.5,S,0,1,wk2,7,Control,07/14/2016
0.5,W,0,17,wk2,7,Control,07/14/2016
0.5,N,0,0,wk2,8,Chemical,07/14/2016
0.5,E,0,2,wk2,8,Chemical,07/14/2016
0.5,S,0,1,wk2,8,Chemical,07/14/2016
0.5,W,0,3,wk2,8,Chemical,07/14/2016
0.5,N,0,9,wk2,9,Predator,07/14/2016
0.5,E,0,18,wk2,9,Predator,07/14/2016
0.5,S,0,0,wk2,9,Predator,07/14/2016
0.5,W,0,5,wk2,9,Predator,07/14/2016
0.5,N,0,0,wk2,10,Chemical,07/14/2016
0.5,E,0,6,wk2,10,Chemical,07/14/2016
0.5,S,0,0,wk2,10,Chemical,07/14/2016
0.5,W,0,0,wk2,10,Chemical,07/14/2016
0.5,N,0,2,wk2,11,Predator,07/14/2016
0.5,E,0,9,wk2,11,Predator,07/14/2016
0.5,S,0,0,wk2,11,Predator,07/14/2016
0.5,W,0,1,wk2,11,Predator,07/14/2016
0.5,N,0,0,wk2,12,Control,07/14/2016
0.5,E,3,3,wk2,12,Control,07/14/2016
0.5,S,0,15,wk2,12,Control,07/14/2016
0.5,W,1,8,wk2,12,Control,07/14/2016
0.5,N,0,0,wk2,13,Control,07/14/2016
0.5,E,0,1,wk2,13,Control,07/14/2016
0.5,S,1,2,wk2,13,Control,07/14/2016
0.5,W,0,0,wk2,13,Control,07/14/2016
0.5,N,0,1,wk2,14,Predator,07/14/2016
0.5,E,0,0,wk2,14,Predator,07/14/2016
0.5,S,0,1,wk2,14,Predator,07/14/2016
0.5,W,0,1,wk2,14,Predator,07/14/2016
0.5,N,0,5,wk2,15,Chemical,07/14/2016
0.5,E,0,0,wk2,15,Chemical,07/14/2016
0.5,S,0,0,wk2,15,Chemical,07/14/2016
0.5,W,0,5,wk2,15,Chemical,07/14/2016
0.5,N,0,5,wk2,16,Control,07/14/2016
0.5,E,0,0,wk2,16,Control,07/14/2016
0.5,S,1,0,wk2,16,Control,07/14/2016
0.5,W,0,4,wk2,16,Control,07/14/2016
0.5,N,0,2,wk2,17,Chemical,07/14/2016
0.5,E,0,0,wk2,17,Chemical,07/14/2016
0.5,S,0,0,wk2,17,Chemical,07/14/2016
0.5,W,0,6,wk2,17,Chemical,07/14/2016
0.5,N,0,6,wk2,18,Predator,07/14/2016
0.5,E,0,5,wk2,18,Predator,07/14/2016
0.5,S,0,1,wk2,18,Predator,07/14/2016
0.5,W,0,2,wk2,18,Predator,07/14/2016
0.5,N,0,6,wk2,19,Predator,07/14/2016
0.5,E,0,4,wk2,19,Predator,07/14/2016
0.5,S,0,0,wk2,19,Predator,07/14/2016
0.5,W,0,0,wk2,19,Predator,07/14/2016
0.5,N,0,3,wk2,20,Control,07/14/2016
0.5,E,0,4,wk2,20,Control,07/14/2016
0.5,S,0,3,wk2,20,Control,07/14/2016
0.5,W,0,2,wk2,20,Control,07/14/2016
0.5,N,1,7,wk2,21,Chemical,07/14/2016
0.5,E,0,0,wk2,21,Chemical,07/14/2016
0.5,S,1,0,wk2,21,Chemical,07/14/2016
0.5,W,0,10,wk2,21,Chemical,07/14/2016
1,N,0,22,wk2,1,Chemical,07/14/2016
1,E,0,15,wk2,1,Chemical,07/14/2016
1,S,0,12,wk2,1,Chemical,07/14/2016
1,W,1,0,wk2,1,Chemical,07/14/2016
1,N,0,0,wk2,2,Control,07/14/2016
1,E,0,14,wk2,2,Control,07/14/2016
1,S,0,4,wk2,2,Control,07/14/2016
1,W,1,11,wk2,2,Control,07/14/2016
1,N,0,1,wk2,3,Predator,07/14/2016
1,E,0,9,wk2,3,Predator,07/14/2016
1,S,0,8,wk2,3,Predator,07/14/2016
1,W,0,0,wk2,3,Predator,07/14/2016
1,N,0,0,wk2,4,Chemical,07/14/2016
1,E,0,14,wk2,4,Chemical,07/14/2016
1,S,0,8,wk2,4,Chemical,07/14/2016
1,W,0,56,wk2,4,Chemical,07/14/2016
1,N,0,5,wk2,5,Predator,07/14/2016
1,E,0,26,wk2,5,Predator,07/14/2016
1,S,0,3,wk2,5,Predator,07/14/2016
1,W,0,0,wk2,5,Predator,07/14/2016
1,N,0,7,wk2,6,Control,07/14/2016
1,E,1,0,wk2,6,Control,07/14/2016
1,S,0,8,wk2,6,Control,07/14/2016
1,W,0,2,wk2,6,Control,07/14/2016
1,N,1,0,wk2,7,Control,07/14/2016
1,E,0,20,wk2,7,Control,07/14/2016
1,S,0,1,wk2,7,Control,07/14/2016
1,W,0,1,wk2,7,Control,07/14/2016
1,N,1,9,wk2,8,Chemical,07/14/2016
1,E,0,2,wk2,8,Chemical,07/14/2016
1,S,0,9,wk2,8,Chemical,07/14/2016
1,W,0,2,wk2,8,Chemical,07/14/2016
1,N,0,0,wk2,9,Predator,07/14/2016
1,E,0,10,wk2,9,Predator,07/14/2016
1,S,0,0,wk2,9,Predator,07/14/2016
1,W,0,2,wk2,9,Predator,07/14/2016
1,N,1,3,wk2,10,Chemical,07/14/2016
1,E,0,8,wk2,10,Chemical,07/14/2016
1,S,0,0,wk2,10,Chemical,07/14/2016
1,W,1,1,wk2,10,Chemical,07/14/2016
1,N,0,8,wk2,11,Predator,07/14/2016
1,E,0,3,wk2,11,Predator,07/14/2016
1,S,0,3,wk2,11,Predator,07/14/2016
1,W,0,0,wk2,11,Predator,07/14/2016
1,N,0,14,wk2,12,Control,07/14/2016
1,E,0,3,wk2,12,Control,07/14/2016
1,S,0,0,wk2,12,Control,07/14/2016
1,W,0,0,wk2,12,Control,07/14/2016
1,N,0,18,wk2,13,Control,07/14/2016
1,E,1,11,wk2,13,Control,07/14/2016
1,S,2,6,wk2,13,Control,07/14/2016
1,W,0,11,wk2,13,Control,07/14/2016
1,N,0,6,wk2,14,Predator,07/14/2016
1,E,0,0,wk2,14,Predator,07/14/2016
1,S,0,1,wk2,14,Predator,07/14/2016
1,W,0,2,wk2,14,Predator,07/14/2016
1,N,0,2,wk2,15,Chemical,07/14/2016
1,E,0,5,wk2,15,Chemical,07/14/2016
1,S,0,14,wk2,15,Chemical,07/14/2016
1,W,0,2,wk2,15,Chemical,07/14/2016
1,N,0,1,wk2,16,Control,07/14/2016
1,E,1,8,wk2,16,Control,07/14/2016
1,S,0,1,wk2,16,Control,07/14/2016
1,W,1,8,wk2,16,Control,07/14/2016
1,N,2,3,wk2,17,Chemical,07/14/2016
1,E,0,0,wk2,17,Chemical,07/14/2016
1,S,0,2,wk2,17,Chemical,07/14/2016
1,W,0,1,wk2,17,Chemical,07/14/2016
1,N,0,13,wk2,18,Predator,07/14/2016
1,E,1,6,wk2,18,Predator,07/14/2016
1,S,0,4,wk2,18,Predator,07/14/2016
1,W,0,0,wk2,18,Predator,07/14/2016
1,N,0,0,wk2,19,Predator,07/14/2016
1,E,0,7,wk2,19,Predator,07/14/2016
1,S,0,0,wk2,19,Predator,07/14/2016
1,W,0,3,wk2,19,Predator,07/14/2016
1,N,0,1,wk2,20,Control,07/14/2016
1,E,0,4,wk2,20,Control,07/14/2016
1,S,0,5,wk2,20,Control,07/14/2016
1,W,0,1,wk2,20,Control,07/14/2016
1,N,0,4,wk2,21,Chemical,07/14/2016
1,E,0,0,wk2,21,Chemical,07/14/2016
1,S,0,1,wk2,21,Chemical,07/14/2016
1,W,0,4,wk2,21,Chemical,07/14/2016
2,N,0,8,wk2,1,Chemical,07/14/2016
2,E,0,4,wk2,1,Chemical,07/14/2016
2,S,0,10,wk2,1,Chemical,07/14/2016
2,W,0,20,wk2,1,Chemical,07/14/2016
2,N,0,7,wk2,2,Control,07/14/2016
2,E,1,34,wk2,2,Control,07/14/2016
2,S,0,12,wk2,2,Control,07/14/2016
2,W,0,5,wk2,2,Control,07/14/2016
2,N,0,1,wk2,3,Predator,07/14/2016
2,E,1,0,wk2,3,Predator,07/14/2016
2,S,1,1,wk2,3,Predator,07/14/2016
2,W,0,5,wk2,3,Predator,07/14/2016
2,N,0,14,wk2,4,Chemical,07/14/2016
2,E,0,1,wk2,4,Chemical,07/14/2016
2,S,0,15,wk2,4,Chemical,07/14/2016
2,W,0,14,wk2,4,Chemical,07/14/2016
2,N,2,1,wk2,5,Predator,07/14/2016
2,E,2,0,wk2,5,Predator,07/14/2016
2,S,0,11,wk2,5,Predator,07/14/2016
2,W,0,0,wk2,5,Predator,07/14/2016
2,N,1,0,wk2,6,Control,07/14/2016
2,E,0,2,wk2,6,Control,07/14/2016
2,S,0,6,wk2,6,Control,07/14/2016
2,W,1,4,wk2,6,Control,07/14/2016
2,N,0,0,wk2,7,Control,07/14/2016
2,E,0,4,wk2,7,Control,07/14/2016
2,S,0,8,wk2,7,Control,07/14/2016
2,W,0,6,wk2,7,Control,07/14/2016
2,N,1,5,wk2,8,Chemical,07/14/2016
2,E,0,4,wk2,8,Chemical,07/14/2016
2,S,0,7,wk2,8,Chemical,07/14/2016
2,W,0,8,wk2,8,Chemical,07/14/2016
2,N,0,1,wk2,9,Predator,07/14/2016
2,E,1,0,wk2,9,Predator,07/14/2016
2,S,1,0,wk2,9,Predator,07/14/2016
2,W,1,3,wk2,9,Predator,07/14/2016
2,N,0,5,wk2,10,Chemical,07/14/2016
2,E,0,0,wk2,10,Chemical,07/14/2016
2,S,0,5,wk2,10,Chemical,07/14/2016
2,W,0,0,wk2,10,Chemical,07/14/2016
