Replicate,Treatment,Distance(m),Direction,Eggs,Aphids,Date,temphigh,templow,precip,windspdmax
5,Predator,4,S,1,16,07/07/16,32.1,16.6,,6.3
5,Predator,0.5,W,0,4,07/07/16,32.1,16.6,,6.3
5,Predator,1,W,1,10,07/07/16,32.1,16.6,,6.3
5,Predator,2,W,2,4,07/07/16,32.1,16.6,,6.3
5,Predator,4,W,1,6,07/07/16,32.1,16.6,,6.3
6,Control,FOCAL,Center,0,32,07/07/16,32.1,16.6,,6.3
6,Control,0.5,N,0,5,07/07/16,32.1,16.6,,6.3
6,Control,1,N,0,4,07/07/16,32.1,16.6,,6.3
6,Control,2,N,0,0,07/07/16,32.1,16.6,,6.3
6,Control,4,N,0,5,07/07/16,32.1,16.6,,6.3
6,Control,0.5,E,0,0,07/07/16,32.1,16.6,,6.3
6,Control,1,E,0,0,07/07/16,32.1,16.6,,6.3
6,Control,2,E,0,3,07/07/16,32.1,16.6,,6.3
6,Control,4,E,1,0,07/07/16,32.1,16.6,,6.3
6,Control,0.5,S,0,2,07/07/16,32.1,16.6,,6.3
6,Control,1,S,0,15,07/07/16,32.1,16.6,,6.3
6,Control,2,S,1,20,07/07/16,32.1,16.6,,6.3
6,Control,4,S,0,2,07/07/16,32.1,16.6,,6.3
6,Control,0.5,W,0,1,07/07/16,32.1,16.6,,6.3
6,Control,1,W,0,8,07/07/16,32.1,16.6,,6.3
6,Control,2,W,1,6,07/07/16,32.1,16.6,,6.3
6,Control,4,W,0,8,07/07/16,32.1,16.6,,6.3
7,Control,FOCAL,Center,0,7,07/07/16,32.1,16.6,,6.3
7,Control,0.5,N,0,6,07/07/16,32.1,16.6,,6.3
7,Control,1,N,0,1,07/07/16,32.1,16.6,,6.3
7,Control,2,N,2,5,07/07/16,32.1,16.6,,6.3
7,Control,4,N,1,18,07/07/16,32.1,16.6,,6.3
7,Control,0.5,E,0,4,07/07/16,32.1,16.6,,6.3
7,Control,1,E,1,4,07/07/16,32.1,16.6,,6.3
7,Control,2,E,1,3,07/07/16,32.1,16.6,,6.3
7,Control,4,E,1,2,07/07/16,32.1,16.6,,6.3
7,Control,0.5,S,5,0,07/07/16,32.1,16.6,,6.3
7,Control,1,S,0,0,07/07/16,32.1,16.6,,6.3
7,Control,2,S,0,23,07/07/16,32.1,16.6,,6.3
7,Control,4,S,0,0,07/07/16,32.1,16.6,,6.3
7,Control,0.5,W,0,4,07/07/16,32.1,16.6,,6.3
7,Control,1,W,2,5,07/07/16,32.1,16.6,,6.3
7,Control,2,W,0,22,07/07/16,32.1,16.6,,6.3
7,Control,4,W,0,1,07/07/16,32.1,16.6,,6.3
8,Chemical,FOCAL,Center,0,2,07/07/16,32.1,16.6,,6.3
8,Chemical,0.5,N,0,2,07/07/16,32.1,16.6,,6.3
8,Chemical,1,N,2,0,07/07/16,32.1,16.6,,6.3
8,Chemical,2,N,0,7,07/07/16,32.1,16.6,,6.3
8,Chemical,4,N,0,1,07/07/16,32.1,16.6,,6.3
8,Chemical,0.5,E,0,34,07/07/16,32.1,16.6,,6.3
8,Chemical,1,E,0,3,07/07/16,32.1,16.6,,6.3
8,Chemical,2,E,1,10,07/07/16,32.1,16.6,,6.3
8,Chemical,4,E,0,0,07/07/16,32.1,16.6,,6.3
8,Chemical,0.5,S,0,7,07/07/16,32.1,16.6,,6.3
8,Chemical,1,S,0,9,07/07/16,32.1,16.6,,6.3
8,Chemical,2,S,1,1,07/07/16,32.1,16.6,,6.3
8,Chemical,4,S,0,3,07/07/16,32.1,16.6,,6.3
8,Chemical,0.5,W,0,7,07/07/16,32.1,16.6,,6.3
8,Chemical,1,W,1,15,07/07/16,32.1,16.6,,6.3
8,Chemical,2,W,0,5,07/07/16,32.1,16.6,,6.3
8,Chemical,4,W,1,0,07/07/16,32.1,16.6,,6.3
9,Predator,FOCAL,Center,0,0,07/07/16,32.1,16.6,,6.3
9,Predator,0.5,N,0,0,07/07/16,32.1,16.6,,6.3
9,Predator,1,N,0,4,07/07/16,32.1,16.6,,6.3
9,Predator,2,N,2,0,07/07/16,32.1,16.6,,6.3
9,Predator,4,N,0,10,07/07/16,32.1,16.6,,6.3
9,Predator,0.5,E,0,0,07/07/16,32.1,16.6,,6.3
9,Predator,1,E,1,6,07/07/16,32.1,16.6,,6.3
9,Predator,2,E,1,3,07/07/16,32.1,16.6,,6.3
9,Predator,4,E,0,0,07/07/16,32.1,16.6,,6.3
9,Predator,0.5,S,0,4,07/07/16,32.1,16.6,,6.3
9,Predator,1,S,1,0,07/07/16,32.1,16.6,,6.3
9,Predator,2,S,1,4,07/07/16,32.1,16.6,,6.3
9,Predator,4,S,0,7,07/07/16,32.1,16.6,,6.3
9,Predator,0.5,W,0,0,07/07/16,32.1,16.6,,6.3
9,Predator,1,W,0,14,07/07/16,32.1,16.6,,6.3
9,Predator,2,W,0,7,07/07/16,32.1,16.6,,6.3
9,Predator,4,W,0,10,07/07/16,32.1,16.6,,6.3
10,Chemical,FOCAL,Center,0,1,07/07/16,32.1,16.6,,6.3
10,Chemical,0.5,N,0,0,07/07/16,32.1,16.6,,6.3
10,Chemical,1,N,1,1,07/07/16,32.1,16.6,,6.3
10,Chemical,2,N,0,3,07/07/16,32.1,16.6,,6.3
10,Chemical,4,N,0,3,07/07/16,32.1,16.6,,6.3
10,Chemical,0.5,E,1,5,07/07/16,32.1,16.6,,6.3
10,Chemical,1,E,1,4,07/07/16,32.1,16.6,,6.3
10,Chemical,2,E,1,0,07/07/16,32.1,16.6,,6.3
10,Chemical,4,E,1,1,07/07/16,32.1,16.6,,6.3
10,Chemical,0.5,S,3,5,07/07/16,32.1,16.6,,6.3
10,Chemical,1,S,0,2,07/07/16,32.1,16.6,,6.3
10,Chemical,2,S,0,3,07/07/16,32.1,16.6,,6.3
10,Chemical,4,S,3,11,07/07/16,32.1,16.6,,6.3
10,Chemical,0.5,W,0,0,07/07/16,32.1,16.6,,6.3
10,Chemical,1,W,2,3,07/07/16,32.1,16.6,,6.3
10,Chemical,2,W,0,0,07/07/16,32.1,16.6,,6.3
10,Chemical,4,W,1,9,07/07/16,32.1,16.6,,6.3
11,Predator,FOCAL,Center,1,1,07/07/16,32.1,16.6,,6.3
11,Predator,0.5,N,0,7,07/07/16,32.1,16.6,,6.3
11,Predator,1,N,0,0,07/07/16,32.1,16.6,,6.3
11,Predator,2,N,1,1,07/07/16,32.1,16.6,,6.3
11,Predator,4,N,2,0,07/07/16,32.1,16.6,,6.3
11,Predator,0.5,E,0,8,07/07/16,32.1,16.6,,6.3
11,Predator,1,E,0,4,07/07/16,32.1,16.6,,6.3
11,Predator,2,E,0,0,07/07/16,32.1,16.6,,6.3
11,Predator,4,E,0,5,07/07/16,32.1,16.6,,6.3
11,Predator,0.5,S,1,7,07/07/16,32.1,16.6,,6.3
11,Predator,1,S,0,0,07/07/16,32.1,16.6,,6.3
11,Predator,2,S,0,1,07/07/16,32.1,16.6,,6.3
11,Predator,4,S,3,0,07/07/16,32.1,16.6,,6.3
11,Predator,0.5,W,0,3,07/07/16,32.1,16.6,,6.3
11,Predator,1,W,1,0,07/07/16,32.1,16.6,,6.3
11,Predator,2,W,0,0,07/07/16,32.1,16.6,,6.3
11,Predator,4,W,0,0,07/07/16,32.1,16.6,,6.3
12,Control,FOCAL,Center,0,5,07/07/16,32.1,16.6,,6.3
12,Control,0.5,N,0,0,07/07/16,32.1,16.6,,6.3
12,Control,1,N,0,2,07/07/16,32.1,16.6,,6.3
12,Control,2,N,0,3,07/07/16,32.1,16.6,,6.3
12,Control,4,N,0,0,07/07/16,32.1,16.6,,6.3
12,Control,0.5,E,0,0,07/07/16,32.1,16.6,,6.3
12,Control,1,E,0,14,07/07/16,32.1,16.6,,6.3
12,Control,2,E,0,0,07/07/16,32.1,16.6,,6.3
12,Control,4,E,1,4,07/07/16,32.1,16.6,,6.3
12,Control,0.5,S,1,0,07/07/16,32.1,16.6,,6.3
12,Control,1,S,0,0,07/07/16,32.1,16.6,,6.3
12,Control,2,S,0,0,07/07/16,32.1,16.6,,6.3
12,Control,4,S,0,0,07/07/16,32.1,16.6,,6.3
12,Control,0.5,W,1,0,07/07/16,32.1,16.6,,6.3
12,Control,1,W,0,6,07/07/16,32.1,16.6,,6.3
12,Control,2,W,0,4,07/07/16,32.1,16.6,,6.3
12,Control,4,W,0,6,07/07/16,32.1,16.6,,6.3
13,Control,FOCAL,Center,0,0,07/07/16,32.1,16.6,,6.3
13,Control,0.5,N,1,0,07/07/16,32.1,16.6,,6.3
13,Control,1,N,2,5,07/07/16,32.1,16.6,,6.3
13,Control,2,N,2,0,07/07/16,32.1,16.6,,6.3
13,Control,4,N,5,2,07/07/16,32.1,16.6,,6.3
13,Control,0.5,E,0,5,07/07/16,32.1,16.6,,6.3
13,Control,1,E,0,20,07/07/16,32.1,16.6,,6.3
13,Control,2,E,1,8,07/07/16,32.1,16.6,,6.3
13,Control,4,E,2,0,07/07/16,32.1,16.6,,6.3
13,Control,0.5,S,0,2,07/07/16,32.1,16.6,,6.3
13,Control,1,S,0,3,07/07/16,32.1,16.6,,6.3
13,Control,2,S,0,3,07/07/16,32.1,16.6,,6.3
13,Control,4,S,0,3,07/07/16,32.1,16.6,,6.3
13,Control,0.5,W,0,3,07/07/16,32.1,16.6,,6.3
13,Control,1,W,1,9,07/07/16,32.1,16.6,,6.3
13,Control,2,W,0,1,07/07/16,32.1,16.6,,6.3
13,Control,4,W,3,2,07/07/16,32.1,16.6,,6.3
14,Predator,FOCAL,Center,0,0,07/07/16,32.1,16.6,,6.3
14,Predator,0.5,N,1,1,07/07/16,32.1,16.6,,6.3
14,Predator,1,N,1,2,07/07/16,32.1,16.6,,6.3
14,Predator,2,N,1,0,07/07/16,32.1,16.6,,6.3
14,Predator,4,N,1,1,07/07/16,32.1,16.6,,6.3
14,Predator,0.5,E,0,0,07/07/16,32.1,16.6,,6.3
14,Predator,1,E,0,2,07/07/16,32.1,16.6,,6.3
14,Predator,2,E,1,1,07/07/16,32.1,16.6,,6.3
14,Predator,4,E,0,1,07/07/16,32.1,16.6,,6.3
14,Predator,0.5,S,0,0,07/07/16,32.1,16.6,,6.3
14,Predator,1,S,0,11,07/07/16,32.1,16.6,,6.3
14,Predator,2,S,2,1,07/07/16,32.1,16.6,,6.3
14,Predator,4,S,1,2,07/07/16,32.1,16.6,,6.3
14,Predator,0.5,W,0,1,07/07/16,32.1,16.6,,6.3
14,Predator,1,W,0,16,07/07/16,32.1,16.6,,6.3
14,Predator,2,W,0,4,07/07/16,32.1,16.6,,6.3
14,Predator,4,W,2,14,07/07/16,32.1,16.6,,6.3
15,Chemical,FOCAL,Center,0,5,07/07/16,32.1,16.6,,6.3
15,Chemical,0.5,N,0,0,07/07/16,32.1,16.6,,6.3
15,Chemical,1,N,0,3,07/07/16,32.1,16.6,,6.3
15,Chemical,2,N,0,6,07/07/16,32.1,16.6,,6.3
15,Chemical,4,N,0,0,07/07/16,32.1,16.6,,6.3
15,Chemical,0.5,E,1,1,07/07/16,32.1,16.6,,6.3
15,Chemical,1,E,0,9,07/07/16,32.1,16.6,,6.3
15,Chemical,2,E,0,4,07/07/16,32.1,16.6,,6.3
15,Chemical,4,E,0,4,07/07/16,32.1,16.6,,6.3
15,Chemical,0.5,S,0,2,07/07/16,32.1,16.6,,6.3
15,Chemical,1,S,0,4,07/07/16,32.1,16.6,,6.3
15,Chemical,2,S,2,5,07/07/16,32.1,16.6,,6.3
15,Chemical,4,S,0,2,07/07/16,32.1,16.6,,6.3
15,Chemical,0.5,W,0,4,07/07/16,32.1,16.6,,6.3
15,Chemical,1,W,2,5,07/07/16,32.1,16.6,,6.3
15,Chemical,2,W,0,6,07/07/16,32.1,16.6,,6.3
15,Chemical,4,W,0,3,07/07/16,32.1,16.6,,6.3
16,Control,FOCAL,Center,0,0,07/07/16,32.1,16.6,,6.3
16,Control,0.5,N,1,6,07/07/16,32.1,16.6,,6.3
16,Control,1,N,0,0,07/07/16,32.1,16.6,,6.3
16,Control,2,N,0,4,07/07/16,32.1,16.6,,6.3
16,Control,4,N,1,3,07/07/16,32.1,16.6,,6.3
16,Control,0.5,E,0,15,07/07/16,32.1,16.6,,6.3
16,Control,1,E,1,3,07/07/16,32.1,16.6,,6.3
16,Control,2,E,0,0,07/07/16,32.1,16.6,,6.3
16,Control,4,E,1,2,07/07/16,32.1,16.6,,6.3
16,Control,0.5,S,0,1,07/07/16,32.1,16.6,,6.3
16,Control,1,S,1,2,07/07/16,32.1,16.6,,6.3
16,Control,2,S,0,0,07/07/16,32.1,16.6,,6.3
16,Control,4,S,1,3,07/07/16,32.1,16.6,,6.3
16,Control,0.5,W,0,1,07/07/16,32.1,16.6,,6.3
16,Control,1,W,1,0,07/07/16,32.1,16.6,,6.3
16,Control,2,W,3,1,07/07/16,32.1,16.6,,6.3
16,Control,4,W,1,6,07/07/16,32.1,16.6,,6.3
17,Chemical,FOCAL,Center,0,0,07/07/16,32.1,16.6,,6.3
17,Chemical,0.5,N,1,1,07/07/16,32.1,16.6,,6.3
17,Chemical,1,N,1,2,07/07/16,32.1,16.6,,6.3
17,Chemical,2,N,2,2,07/07/16,32.1,16.6,,6.3
17,Chemical,4,N,0,2,07/07/16,32.1,16.6,,6.3
17,Chemical,0.5,E,1,0,07/07/16,32.1,16.6,,6.3
17,Chemical,1,E,4,0,07/07/16,32.1,16.6,,6.3
17,Chemical,2,E,0,3,07/07/16,32.1,16.6,,6.3
17,Chemical,4,E,0,14,07/07/16,32.1,16.6,,6.3
17,Chemical,0.5,S,1,0,07/07/16,32.1,16.6,,6.3
17,Chemical,1,S,1,1,07/07/16,32.1,16.6,,6.3
17,Chemical,2,S,1,0,07/07/16,32.1,16.6,,6.3
17,Chemical,4,S,0,0,07/07/16,32.1,16.6,,6.3
17,Chemical,0.5,W,0,2,07/07/16,32.1,16.6,,6.3
17,Chemical,1,W,3,0,07/07/16,32.1,16.6,,6.3
17,Chemical,2,W,2,1,07/07/16,32.1,16.6,,6.3
17,Chemical,4,W,1,1,07/07/16,32.1,16.6,,6.3
18,Predator,FOCAL,Center,0,1,07/07/16,32.1,16.6,,6.3
18,Predator,0.5,N,0,7,07/07/16,32.1,16.6,,6.3
18,Predator,1,N,0,5,07/07/16,32.1,16.6,,6.3
18,Predator,2,N,0,3,07/07/16,32.1,16.6,,6.3
18,Predator,4,N,0,0,07/07/16,32.1,16.6,,6.3
18,Predator,0.5,E,1,2,07/07/16,32.1,16.6,,6.3
18,Predator,1,E,0,5,07/07/16,32.1,16.6,,6.3
18,Predator,2,E,1,8,07/07/16,32.1,16.6,,6.3
18,Predator,4,E,0,3,07/07/16,32.1,16.6,,6.3
18,Predator,0.5,S,0,9,07/07/16,32.1,16.6,,6.3
18,Predator,1,S,0,10,07/07/16,32.1,16.6,,6.3
18,Predator,2,S,0,9,07/07/16,32.1,16.6,,6.3
18,Predator,4,S,0,4,07/07/16,32.1,16.6,,6.3
18,Predator,0.5,W,1,6,07/07/16,32.1,16.6,,6.3
18,Predator,1,W,0,2,07/07/16,32.1,16.6,,6.3
18,Predator,2,W,0,5,07/07/16,32.1,16.6,,6.3
18,Predator,4,W,0,1,07/07/16,32.1,16.6,,6.3
19,Predator,FOCAL,Center,2,0,07/07/16,32.1,16.6,,6.3
19,Predator,0.5,N,6,2,07/07/16,32.1,16.6,,6.3
19,Predator,1,N,3,2,07/07/16,32.1,16.6,,6.3
19,Predator,2,N,1,2,07/07/16,32.1,16.6,,6.3
19,Predator,4,N,3,0,07/07/16,32.1,16.6,,6.3
19,Predator,0.5,E,4,7,07/07/16,32.1,16.6,,6.3
19,Predator,1,E,3,7,07/07/16,32.1,16.6,,6.3
19,Predator,2,E,2,3,07/07/16,32.1,16.6,,6.3
19,Predator,4,E,5,3,07/07/16,32.1,16.6,,6.3
19,Predator,0.5,S,1,1,07/07/16,32.1,16.6,,6.3
19,Predator,1,S,4,0,07/07/16,32.1,16.6,,6.3
19,Predator,2,S,2,3,07/07/16,32.1,16.6,,6.3
19,Predator,4,S,0,9,07/07/16,32.1,16.6,,6.3
19,Predator,0.5,W,1,8,07/07/16,32.1,16.6,,6.3
19,Predator,1,W,4,1,07/07/16,32.1,16.6,,6.3
19,Predator,2,W,3,1,07/07/16,32.1,16.6,,6.3
19,Predator,4,W,3,4,07/07/16,32.1,16.6,,6.3
20,Control,FOCAL,Center,0,2,07/07/16,32.1,16.6,,6.3
20,Control,0.5,N,0,6,07/07/16,32.1,16.6,,6.3
20,Control,1,N,0,0,07/07/16,32.1,16.6,,6.3
20,Control,2,N,0,3,07/07/16,32.1,16.6,,6.3
20,Control,4,N,0,2,07/07/16,32.1,16.6,,6.3
20,Control,0.5,E,0,8,07/07/16,32.1,16.6,,6.3
20,Control,1,E,0,1,07/07/16,32.1,16.6,,6.3
20,Control,2,E,0,1,07/07/16,32.1,16.6,,6.3
20,Control,4,E,0,3,07/07/16,32.1,16.6,,6.3
20,Control,0.5,S,0,0,07/07/16,32.1,16.6,,6.3
20,Control,1,S,0,1,07/07/16,32.1,16.6,,6.3
20,Control,2,S,0,0,07/07/16,32.1,16.6,,6.3
20,Control,4,S,2,11,07/07/16,32.1,16.6,,6.3
20,Control,0.5,W,0,0,07/07/16,32.1,16.6,,6.3
20,Control,1,W,0,0,07/07/16,32.1,16.6,,6.3
20,Control,2,W,0,0,07/07/16,32.1,16.6,,6.3
20,Control,4,W,0,4,07/07/16,32.1,16.6,,6.3
21,Chemical,FOCAL,Center,1,0,07/07/16,32.1,16.6,,6.3
21,Chemical,0.5,N,0,7,07/07/16,32.1,16.6,,6.3
21,Chemical,1,N,0,2,07/07/16,32.1,16.6,,6.3
21,Chemical,2,N,0,2,07/07/16,32.1,16.6,,6.3
21,Chemical,4,N,0,1,07/07/16,32.1,16.6,,6.3
21,Chemical,0.5,E,1,2,07/07/16,32.1,16.6,,6.3
21,Chemical,1,E,1,1,07/07/16,32.1,16.6,,6.3
21,Chemical,2,E,1,5,07/07/16,32.1,16.6,,6.3
21,Chemical,4,E,2,2,07/07/16,32.1,16.6,,6.3
21,Chemical,0.5,S,1,4,07/07/16,32.1,16.6,,6.3
21,Chemical,1,S,0,0,07/07/16,32.1,16.6,,6.3
21,Chemical,2,S,0,0,07/07/16,32.1,16.6,,6.3
21,Chemical,4,S,0,4,07/07/16,32.1,16.6,,6.3
21,Chemical,0.5,W,0,2,07/07/16,32.1,16.6,,6.3
21,Chemical,1,W,0,3,07/07/16,32.1,16.6,,6.3
21,Chemical,2,W,1,2,07/07/16,32.1,16.6,,6.3
21,Chemical,4,W,1,7,07/07/16,32.1,16.6,,6.3
1,Chemical,FOCAL,Center,0,1,07/09/16,26.8,17.2,,7.1
1,Chemical,0.5,N,0,4,07/09/16,26.8,17.2,,7.1
1,Chemical,1,N,0,0,07/09/16,26.8,17.2,,7.1
1,Chemical,2,N,2,2,07/09/16,26.8,17.2,,7.1
1,Chemical,4,N,0,1,07/09/16,26.8,17.2,,7.1
1,Chemical,0.5,E,0,4,07/09/16,26.8,17.2,,7.1
1,Chemical,1,E,0,1,07/09/16,26.8,17.2,,7.1
1,Chemical,2,E,2,7,07/09/16,26.8,17.2,,7.1
1,Chemical,4,E,2,6,07/09/16,26.8,17.2,,7.1
1,Chemical,0.5,S,1,5,07/09/16,26.8,17.2,,7.1
1,Chemical,1,S,3,1,07/09/16,26.8,17.2,,7.1
1,Chemical,2,S,1,0,07/09/16,26.8,17.2,,7.1
1,Chemical,4,S,0,0,07/09/16,26.8,17.2,,7.1
1,Chemical,0.5,W,1,5,07/09/16,26.8,17.2,,7.1
1,Chemical,1,W,0,0,07/09/16,26.8,17.2,,7.1
1,Chemical,2,W,1,1,07/09/16,26.8,17.2,,7.1
1,Chemical,4,W,1,0,07/09/16,26.8,17.2,,7.1
2,Control,FOCAL,Center,0,0,07/09/16,26.8,17.2,,7.1
2,Control,0.5,N,0,4,07/09/16,26.8,17.2,,7.1
2,Control,1,N,1,4,07/09/16,26.8,17.2,,7.1
2,Control,2,N,2,10,07/09/16,26.8,17.2,,7.1
2,Control,4,N,0,1,07/09/16,26.8,17.2,,7.1
2,Control,0.5,E,2,5,07/09/16,26.8,17.2,,7.1
2,Control,1,E,2,2,07/09/16,26.8,17.2,,7.1
2,Control,2,E,2,2,07/09/16,26.8,17.2,,7.1
2,Control,4,E,0,3,07/09/16,26.8,17.2,,7.1
2,Control,0.5,S,0,1,07/09/16,26.8,17.2,,7.1
2,Control,1,S,1,2,07/09/16,26.8,17.2,,7.1
2,Control,2,S,0,0,07/09/16,26.8,17.2,,7.1
2,Control,4,S,1,3,07/09/16,26.8,17.2,,7.1
2,Control,0.5,W,0,0,07/09/16,26.8,17.2,,7.1
2,Control,1,W,1,1,07/09/16,26.8,17.2,,7.1
2,Control,2,W,0,0,07/09/16,26.8,17.2,,7.1
2,Control,4,W,3,2,07/09/16,26.8,17.2,,7.1
3,Predator,FOCAL,Center,0,1,07/09/16,26.8,17.2,,7.1
3,Predator,0.5,N,0,6,07/09/16,26.8,17.2,,7.1
3,Predator,1,N,0,0,07/09/16,26.8,17.2,,7.1
3,Predator,2,N,0,1,07/09/16,26.8,17.2,,7.1
3,Predator,4,N,0,0,07/09/16,26.8,17.2,,7.1
3,Predator,0.5,E,1,2,07/09/16,26.8,17.2,,7.1
3,Predator,1,E,0,13,07/09/16,26.8,17.2,,7.1
3,Predator,2,E,3,25,07/09/16,26.8,17.2,,7.1
3,Predator,4,E,1,6,07/09/16,26.8,17.2,,7.1
3,Predator,0.5,S,0,0,07/09/16,26.8,17.2,,7.1
3,Predator,1,S,1,0,07/09/16,26.8,17.2,,7.1
3,Predator,2,S,2,8,07/09/16,26.8,17.2,,7.1
3,Predator,4,S,2,7,07/09/16,26.8,17.2,,7.1
3,Predator,0.5,W,1,1,07/09/16,26.8,17.2,,7.1
3,Predator,1,W,1,0,07/09/16,26.8,17.2,,7.1
3,Predator,2,W,0,0,07/09/16,26.8,17.2,,7.1
3,Predator,4,W,0,3,07/09/16,26.8,17.2,,7.1
4,Chemical,FOCAL,Center,0,0,07/09/16,26.8,17.2,,7.1
4,Chemical,0.5,N,1,0,07/09/16,26.8,17.2,,7.1
4,Chemical,1,N,1,1,07/09/16,26.8,17.2,,7.1
